timestamp,action_label
00:00,standing
00:13,walking
02:36,standing
03:41,walking
04:09,standing
04:15,sitting
04:19,sitting
07:50,standing
07:52,standing
08:03,walking
08:42,standing
09:06,standing
10:21,using_object
11:01,releasing_object
11:03,standing
11:16,using_object
12:03,releasing_object
12:06,standing
12:21,grabbing_object
12:30,standing
12:40,using_object
13:17,releasing_object
13:19,standing
13:49,using_object
14:11,releasing_object
14:13,standing
14:37,using_object
15:15,releasing_object
15:17,standing
15:33,standing
16:06,grabbing_object
16:12,standing
16:19,stirring
17:19,releasing_object
17:21,standing
17:30,grabbing_object
17:39,eating
17:43,releasing_object
17:51,standing
18:21,grabbing_object
18:35,walking
18:47,standing
18:51,releasing_object
18:55,standing
19:00,moving_object
19:04,sitting
19:06,sitting
19:16,grabbing_object
19:19,drinking
19:53,sitting
21:05,grabbing_object
22:08,drinking
22:42,holding_object
22:53,releasing_object
22:56,sitting
23:27,grabbing_object
23:29,drinking
23:53,holding_object
23:58,releasing_object
24:01,sitting
24:08,standing
24:11,standing
24:15,walking
24:29,upstair
24:39,walking
24:51,standing
25:02,walking
25:12,standing
25:19,walking
25:28,downstair
25:36,walking
26:04,standing
26:11,grabbing_object
26:17,walking
26:26,standing
26:32,sitting
26:34,sitting
26:53,releasing_object
26:58,sitting
27:11,grabbing_object
27:16,sitting
27:29,reading
35:23,sitting
35:35,releasing_object
35:38,sitting
35:49,standing
35:51,standing
35:52,walking
36:23,standing
