timestamp,action_label
00:00,standing
00:26,walking
00:41,standing
00:53,walking
01:00,standing
01:10,walking
01:12,walking
01:24,standing
01:33,walking
01:36,standing
02:20,grabbing_object
02:22,holding_object
02:36,releasing_object
02:39,standing
02:52,grabbing_object
03:18,releasing_object
03:19,standing
03:29,grabbing_object
03:30,holding_object
03:45,releasing_object
03:46,standing
04:43,grabbing_object
04:48,releasing_object
04:50,standing
04:57,grabbing_object
04:59,holding_object
05:19,releasing_object
05:20,standing
05:30,grabbing_object
05:35,releasing_object
05:40,standing
06:15,grabbing_object
06:17,standing
06:22,grabbing_object
06:24,pouring
06:44,releasing_object
06:46,standing
06:53,grabbing_object
06:57,releasing_object
07:03,grabbing_object
07:07,holding_object
07:12,drinking
07:55,holding_object
08:01,releasing_object
08:04,standing
08:11,grabbing_object
08:17,walking
08:27,sitting
08:29,sitting
08:34,releasing_object
08:35,sitting
09:08,grabbing_object
09:14,grabbing_object
09:21,releasing_object
09:24,sitting
09:28,grabbing_object
09:34,eating
10:27,releasing_object
10:29,sitting
10:34,grabbing_object
10:38,sitting
10:45,grabbing_object
10:50,eating
14:06,sitting
15:12,grabbing_object
15:13,holding_object
15:22,drinking
16:44,holding_object
16:50,releasing_object
16:53,sitting
17:34,grabbing_object
17:38,eating
21:34,sitting
22:24,standing
22:25,walking
22:31,standing
22:41,walking
22:45,standing
22:48,grabbing_object
22:51,walking
23:05,upstair
23:15,walking
23:34,downstair
23:43,walking
23:55,standing
23:58,releasing_object
24:01,standing
24:06,grabbing_object
24:11,standing
24:15,walking
24:21,standing
24:28,sitting
24:36,reading
27:55,sitting
28:02,standing
28:05,standing
28:11,walking
28:24,standing
28:26,releasing_object
28:28,walking
28:43,standing
28:48,grabbing_object
28:50,holding_object
28:52,drinking
29:06,standing
29:09,walking
29:20,standing
29:22,releasing_object
29:24,standing
29:33,walking
30:03,standing
