timestamp,action_label
00:00,standing
00:06,walking
01:30,standing
01:45,walking
02:02,standing
02:21,walking
02:26,standing
02:33,walking
02:37,standing
03:18,walking
03:57,standing
04:21,walking
04:54,sitting
08:04,walking
08:29,standing
08:36,walking
08:46,sitting
09:12,walking
09:18,standing
09:51,walking
09:57,sitting
10:33,walking
11:25,standing
11:30,walking
11:40,sitting
11:50,standing
11:55,walking
11:58,standing
11:59,walking
12:02,standing
12:05,walking
12:08,standing
12:13,walking
12:17,standing
12:31,sitting
12:56,walking
13:25,standing
13:58,walking
14:03,standing
14:19,walking
14:26,standing
14:39,walking
15:33,standing
