timestamp,action_label
00:00,standing
00:26,walking
00:41,standing
00:53,walking
01:00,standing
01:10,walking
01:12,walking
01:24,standing
01:33,walking
01:36,standing
08:17,walking
08:27,sitting
22:24,standing
22:25,walking
22:31,standing
22:41,walking
22:45,standing
22:48,standing
22:51,walking
23:05,upstair
23:15,walking
23:34,downstair
23:43,walking
23:55,standing
24:15,walking
24:21,standing
24:28,sitting
28:02,standing
28:11,walking
28:24,standing
28:28,walking
28:43,standing
29:09,walking
29:20,standing
29:33,walking
30:03,standing
